accumulatedFirstCnt,accumulatedSecondCnt,baseDate,firstCnt,secondCnt,sido,totalFirstCnt,totalSecondCnt
69111,206,2021-03-31 00:00:00,2272,39,부산광역시,71383,245
47199,264,2021-03-31 00:00:00,1633,443,인천광역시,48832,707
38343,659,2021-03-31 00:00:00,998,0,대구광역시,39341,659
25722,0,2021-03-31 00:00:00,888,0,대전광역시,26610,0
35025,140,2021-03-31 00:00:00,1129,51,광주광역시,36154,191
16712,32,2021-03-31 00:00:00,691,0,울산광역시,17403,32
2538,0,2021-03-31 00:00:00,20,0,세종특별자치시,2558,0
172845,336,2021-03-31 00:00:00,6619,352,경기도,179464,688
25364,73,2021-03-31 00:00:00,987,30,충청북도,26351,103
34620,396,2021-03-31 00:00:00,1638,56,충청남도,36258,452
24597,215,2021-03-31 00:00:00,509,602,강원도,25106,817
39155,84,2021-03-31 00:00:00,1635,9,전라북도,40790,93
41793,252,2021-03-31 00:00:00,1613,23,전라남도,43406,275
43039,0,2021-03-31 00:00:00,2356,0,경상북도,45395,0
61158,461,2021-03-31 00:00:00,2666,63,경상남도,63824,524
9493,0,2021-03-31 00:00:00,394,0,제주특별자치도,9887,0
853930,8187,2021-04-01 00:00:00,22643,4786,전국,876573,12973
139816,3400,2021-04-01 00:00:00,1768,2827,서울특별시,141584,6227
71617,245,2021-04-01 00:00:00,1954,0,부산광역시,73571,245
39467,659,2021-04-01 00:00:00,831,0,대구광역시,40298,659
26669,0,2021-04-01 00:00:00,622,0,대전광역시,27291,0
48884,707,2021-04-01 00:00:00,1206,538,인천광역시,50090,1245
36318,191,2021-04-01 00:00:00,687,141,광주광역시,37005,332
17409,32,2021-04-01 00:00:00,479,0,울산광역시,17888,32
2558,0,2021-04-01 00:00:00,106,0,세종특별자치시,2664,0
179842,688,2021-04-01 00:00:00,4971,691,경기도,184813,1379
25128,818,2021-04-01 00:00:00,844,168,강원도,25972,986
26352,103,2021-04-01 00:00:00,1318,0,충청북도,27670,103
36301,452,2021-04-01 00:00:00,1378,276,충청남도,37679,728
40793,93,2021-04-01 00:00:00,1466,0,전라북도,42259,93
43457,275,2021-04-01 00:00:00,1309,34,전라남도,44766,309
45523,0,2021-04-01 00:00:00,1857,6,경상북도,47380,6
63866,524,2021-04-01 00:00:00,1692,105,경상남도,65558,629
9930,0,2021-04-01 00:00:00,155,0,제주특별자치도,10085,0
877944,12974,2021-04-02 00:00:00,36125,6881,전국,914069,19855
142030,6228,2021-04-02 00:00:00,4076,2954,서울특별시,146106,9182
73717,245,2021-04-02 00:00:00,2321,0,부산광역시,76038,245
40375,659,2021-04-02 00:00:00,940,140,대구광역시,41315,799
50153,1245,2021-04-02 00:00:00,2198,893,인천광역시,52351,2138
37019,332,2021-04-02 00:00:00,1440,288,광주광역시,38459,620
27299,0,2021-04-02 00:00:00,764,0,대전광역시,28063,0
17907,32,2021-04-02 00:00:00,808,0,울산광역시,18715,32
2664,0,2021-04-02 00:00:00,406,0,세종특별자치시,3070,0
185149,1379,2021-04-02 00:00:00,6416,1571,경기도,191565,2950
25972,986,2021-04-02 00:00:00,2397,191,강원도,28369,1177
27676,103,2021-04-02 00:00:00,2342,0,충청북도,30018,103
37710,728,2021-04-02 00:00:00,2428,307,충청남도,40138,1035
42261,93,2021-04-02 00:00:00,2084,0,전라북도,44345,93
44823,309,2021-04-02 00:00:00,2093,46,전라남도,46916,355
47397,6,2021-04-02 00:00:00,1660,338,경상북도,49057,344
65706,629,2021-04-02 00:00:00,3002,153,경상남도,68708,782
